,Statistic,Image,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous University
0,,,0,Marshawn Buchanan,RB,5-11,180.0,Rf.,"Victorville, CA / Adelanto HS",
1,,,0,Zechariah Hopkins,LB,6-1,225.0,R-Sr.,"Cuero, TX / Cuero HS",
2,,,1,"Ontario ""Mookie"" Douglas",RB,5-10,205.0,Sr.,"Lawton, OK / Eisenhower HS",
3,,,1,Patrick Jones,DB,6-0,207.0,Jr.,"Memphis, TN / Sunnyvale HS",
4,,,2,Gabe Douglas,WR,6-3,210.0,Sr.,"Shreveport, LA / Denton Ryan HS",
5,,,2,Michael Irons,DB,6-1,184.0,Sr.,"McGregor, TX / McGregor HS",
6,,,3,Cydd Ford,QB,6-1,160.0,Fr.,"Arlington, TX / James Martin HS",
7,,,3,Eman Lawoye,DB,6-1,195.0,Jr.,"Los Angeles, CA / Del Sol HS",
8,,,4,Jalen Carr,DB,5-9,180.0,Jr.,"Longview, TX / Longview HS",
9,,,4,Alaka'i Yuen,QB,6-3,210.0,Jr.,"Kailua, HI / Moanalua HS",
10,,,5,Donovan Banks,DB,5-11,180.0,Sr.,"Sweeny, TX / Sweeny HS",
11,,,5,Keylan Johnson,WR,5-11,185.0,Rf.,"Mansfield, TX / Lake Ridge HS",
12,,,6,Bryon Broussard,DB,5-11,180.0,Jr.,"Dickinson, TX / Dickinson HS",
13,,,6,Darius Cooper,WR,6-0,190.0,So.,"St. Louis, MO / Hazelwood West HS",
14,,,7,Jaylen Jackson,DB,6-1,175.0,Rf.,"Houston, TX / Langham Creek HS",
15,,,7,Jaden Smith,WR,6-6,210.0,Jr.,"Fort Worth, TX / Kennedale HS",
16,,,8,Braelon Bridges,RB,5-10,180.0,Rf.,"Houston, TX / Klein Collins HS",
17,,,8,Blaine Hoover,DL,6-6,270.0,Sr.,"Bedias, TX / Huntsville HS",
18,,,9,Markel Clark,LB,6-0,210.0,So.,"Beaumont, TX / West Brook HS",
19,,,9,Derrel Kelley III,RB,5-10,175.0,So.,"St. Petersburg, FL / Lakewood HS",
20,,,10,Qua'Shawn Washington,LB,5-11,230.0,Sr.,"Abilene, TX / Abilene HS",
21,,,11,Beau Allen,QB,6-2,215.0,Rf.,"Lexington, KY / Lexington Catholic High School",
22,,,12,Marco Siderman,QB,6-2,215.0,So.,"Westlake Village, CA / Westlake HS",
23,,,13,Dejuan Miller,WR,6-2,190.0,Sr.,"Belle Glade, FL / Glades Central HS",
24,,,14,Cayden Cutler,DB,5-11,190.0,Fr.,"Mansfield, TX / Mansfield HS",
25,,,17,Antwoine Ware,WR,6-0,190.0,Sr.,"San Antonio, TX / Wagner HS",
26,,,18,D.J. Harris,LB,6-0,220.0,Jr.,"Houston, TX / Langham Creek HS",
27,,,19,Tristan McClary,WR,6-2,185.0,Rf.,"Denton, Texas / Ray Braswell HS",
28,,,20,Greg Eggleston Jr.,DB,6-0,170.0,So.,"San Antonio, TX / Smithson Valley HS",
29,,,21,Z'Core Brooks,LB,6-5,245.0,So.,"Dallas, TX / Woodrow Wilson HS",
30,,,22,DeAndre Clifton,DL,6-3,245.0,Jr.,"Laurel, MD / The Avalon School",
31,,,23,Audley Isaacs Jr.,LB,6-1,225.0,R-Sr.,"Philadelphia, PA / Valley Forge Military Academy",
32,,,24,Keldric Williams,DL,6-2,240.0,R-Jr.,"Lake Providence, LA / Mansfield Timberview HS",
33,,,25,Tayvis Coleman,DB,5-11,180.0,Jr.,"Teague, TX / Teague HS",
34,,,26,Les Odimara,DB,6-1,170.0,Rf.,"Houston, TX / Arlington HS",
35,,,27,Blake Smith,DB,5-11,175.0,Rf.,"Houston, TX / Dawson HS",
36,,,28,Zach Strong,LB,6-5,215.0,So.,"Brownwood, TX / Brownwood HS",
37,,,29,Marsean Fisher,LB,6-0,185.0,So.,"St. Louis, MO / Lafayette HS",
38,,,30,Jaicorious Johnson,DL,6-2,260.0,Sr.,"Opelika, AL / Opelika HS",
39,,,31,Bryson Collins,LB,6-2,210.0,R-Jr.,"San Diego, CA / Madison HS",
40,,,32,Kristian Dalton,RB,6-0,200.0,Rf.,"Galveston, TX / Ball HS",
41,,,33,Darian Williams,LB,6-4,240.0,R-Jr.,"San Diego, CA / Otay Ranch HS",
42,,,35,Garrett Richard,LB,5-10,225.0,Fr.,"Beaumont, TX / West Brook HS",
43,,,36,Lee Alley,LB,6-5,240.0,Jr.,"Plano, TX / Plano East Senior HS",
44,,,37,Kyle Taylor,LB,6-1,225.0,Rf.,"The Colony, TX / The Colony HS",
45,,,38,Cody Henderson,TE,6-0,230.0,Jr.,"Weatherford, TX / Weatherford HS",
46,,,39,Deangelo Rosemond,RB,5-8,175.0,Rf.,"San Antonio, TX / East Central HS",
47,,,40,Anthony Bonilla,TE,5-11,200.0,Rf.,"Eastland, TX / Eastland HS",
48,,,41,Kyle Weber,TE,6-0,275.0,So.,"Splendora, TX / Splendora HS",
49,,,42,Myles Aldridge,LB,6-2,225.0,Rf.,"Bryant, AR / Bryant HS",
50,,,44,Todd Tillis,DL,6-3,240.0,So.,"Red Oak, TX / Red Oak HS",
51,,,45,Courtland Stephens,DB,6-0,185.0,Rf.,"San Antonio, TX / MacArthur HS",
52,,,46,Ryan Ward,TE,6-1,210.0,Rf.,"Colleyville, TX / Heritage HS",
53,,,47,Brody Davis,TE,6-2,230.0,Rf.,"Opelika, AL / Opelika HS",
54,,,48,Adrian Guzman,K,6-0,200.0,So.,"Temple, TX / Temple HS",
55,,,49,Jed Whitney,LS,6-3,200.0,Rf.,"Valley Mills, TX / Crawford HS",
56,,,50,Makody Robertson,DL,6-3,315.0,Jr.,"Pflugerville, TX / Hendrickson HS",
57,,,51,Dillon Brooks,OL,6-1,300.0,R-So.,"Huntsville, TX / Huntsville HS",
58,,,52,Robert Rios,DL,6-4,315.0,Rf.,"Killeen, TX / Shoemaker HS",
59,,,53,Myles Ward,OL,6-1,275.0,Rf.,"El Paso, TX / Chapin HS",
60,,,54,Layton Ernst,OL,6-2,290.0,So.,"Mansfield, TX / Mansfield HS",
61,,,55,Segun Ijiyera,DL,6-3,285.0,Sr.,"Corinth, TX / Lake Dallas HS",
62,,,56,Devin Sterling,LB,6-2,235.0,So.,"Sunnyvale, TX / Sunnyvale HS",
63,,,57,Seth Terry,LB,6-3,215.0,R-Fr.,"Fort Worth, TX / Liberty Christian School",
64,,,58,Prince Umanmielen,DL,6-7,270.0,Jr.,"Manor, TX / Manor HS",
65,,,59,Kurt Hatch,OL,6-3,275.0,Rf.,"Weatherford, TX / Weatherford HS",
66,,,60,Hunter Smith,OL,6-5,300.0,Rf.,"Rockwall, TX / Rockwall-Heath HS",
67,,,61,Brandon Oldham,LS,6-1,225.0,So.,"Arlington, TX / Legacy HS",
68,,,62,Jeremy Phelps,OL,6-3,275.0,So.,"Trophy Club, TX / Byron Nelson HS",
69,,,64,Chris Haywood,DL,6-3,270.0,Rf.,"Foreman, AR / Foreman HS",
70,,,65,Malik Pete,OL,6-6,320.0,So.,"Oklahoma City, OK / Northeast Academy",
71,,,70,Garrett Smith,OL,6-4,265.0,Rf.,"North Richland Hills, TX / Richland HS",
72,,,71,Kendall Dearth,OL,6-4,320.0,Sr.,"Atascocita, TX / Atascocita HS",
73,,,72,Rawley Vaughn,DL,6-5,275.0,Jr.,"Weslaco, TX / Weslaco HS",
74,,,73,Rowdy Garza,OL,6-4,300.0,Jr.,"Abilene, TX / Hewitt-Trussville HS",
75,,,74,Blake Haynes,OL,6-6,305.0,Jr.,"Maypearl, TX / Maypearl HS",
76,,,75,Austin Whitehead,OL,6-6,315.0,Sr.,"Enid, OK / Enid HS",
77,,,77,Jack Gallagher,OL,6-6,250.0,Rf.,"Fredericksburg, TX / Fredericksburg HS",
78,,,78,Raul Sandoval III,OL,6-0,295.0,Sr.,"Granbury, TX / Granbury HS",
79,,,79,Brandon Machuca,OL,6-3,300.0,So.,"Corinth, TX / Lake Dallas HS",
80,,,80,Cooper Vaden,TE,6-2,240.0,Fr.,"Fort Worth, TX / Boswell HS",
81,,,81,Tate Abel,WR,6-1,195.0,Rf.,"Crawford, TX / Crawford HS",
82,,,82,Fred Brown II,WR,5-9,175.0,So.,"Mesquite, TX / Dallas Christian School",
83,,,83,Jake Walrath,P,6-4,200.0,Jr.,"Salado, TX / Salado HS",
84,,,84,Anton Beemelmanns,WR,6-1,185.0,Fr.,"Kingston, PA / Wyoming Seminary",
85,,,85,Randy Clemons II,TE,6-4,255.0,Jr.,"Quartz Hill, CA / Quartz Hill HS",
86,,,86,Wyatt Birdwell,K,6-2,185.0,Rf.,"Millsap, TX / Millsap HS",
87,,,87,Evan Chisolm,WR,6-3,190.0,Rf.,"El Paso, TX / Americas HS",
88,,,88,Shawn McFarland,TE,6-3,253.0,Sr.,"Selden, NY / Centereach HS",
89,,,89,Mateo Siderman,WR,6-1,180.0,Fr.,"Westlake Village, CA / Westlake HS",
90,,,90,Javier Duran,DL,6-4,280.0,Jr.,"Jackson, NJ / Jackson Liberty HS",
91,,,91,Isaac Garcia,LS,6-2,220.0,So.,"Fort Worth, TX / R.L. Paschal HS",
92,,,95,Jon-Thomas Linnear,DL,6-3,280.0,Fr.,"Fort Worth, TX / Keller HS",
93,,,96,Charlie Mullen,K,6-4,220.0,Fr.,"Houston, TX / Lamar HS",
94,,,98,Jamell Winn,DL,6-5,370.0,Sr.,"Brooklyn, NY / Grand Street Campus HS",
95,,,SQ,O'tay Baker,LB,6-4,222.0,Jr.,"Mesquite, TX / Mesquite HS",
96,,,SQ,Zach Blair,WR,6-3,200.0,So.,"Desoto, TX / Desoto HS",
97,,,SQ,Dionte Brooks,DL,6-2,265.0,Sr.,"Mansfield, TX / Mansfield HS",
98,,,SQ,Calob Davis,DL,6-3,240.0,Rf.,"Crandall, TX / Crandall HS",
99,,,SQ,Jaden Fisher,DB,6-0,184.0,Fr.,"Fort Worth, TX / Chisholm Trail HS",
100,,,SQ,Maleek Jones,DB,6-1,170.0,Rf.,"Port Arthur, TX / Memorial HS",
101,,,SQ,Ryan McDavid,DB,6-0,195.0,Rf.,"Flower Mound, TX / Flower Mound HS",
102,,,SQ,Corbin Poston,K,6-0,185.0,Fr.,"Stephenville, TX / Stephenville, HS",
103,,,SQ,Brandon Tolvert,DL,6-1,295.0,So.,"Columbus, GA / Newnan HS",
104,,,SQ,Chika Ugoh,LB,6-3,230.0,Fr.,"Frisco, TX / Liberty HS",
105,,,SQ,Reese Woerner,RB,5-8,190.0,Fr.,"Eau Claire, WI / Memorial HS",
