,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Image,Title
0,,2.0,Thomas Wyatt,LB,6-3,220.0,So.,"McKeesport, Pa. / McKeesport",,
1,,3.0,Melvin Ravenel,DB,6-3,175.0,R-So.,"Goose Creek, S.C. / Goose Creek",,
2,,4.0,Dominick Poole,DB,6-0,175.0,Jr.,"Randleman, N.C. / Randleman",,
3,,6.0,Hasan Black,LB,6-3,235.0,Sr.,"Wyoming, Ohio / Wyoming",,
4,,8.0,Brian Horn,LB,6-1,195.0,Gr.,"Columbia, S.C. / Westwood",,
5,,10.0,Travon Wallace,DB,6-0,190.0,Gr.,"Jacksonville, Fla. / North Carolina Central",,
6,,11.0,Ahmad Green,QB,5-10,175.0,R-So.,"Baltimore, Md. / May River",,
7,,14.0,Tripp Williams,QB,6-1,215.0,So.,"Charleston, S.C. / Philip Simmons",,
8,,16.0,Varney Layman,QB,6-1,192.0,R-So.,"Concord, N.C. / Cox Mill",,
9,,17.0,Carson Walter,DB,6-0,204.0,Gr.,"Fayetteville, Ga. / Birmingham Southern",,
10,,18.0,Graeson Underwood,QB,6-0,225.0,Jr.,"Irmo, S.C / Dutch Fork",,
11,,19.0,Jay Graves-Billips,RB,5-11,185.0,R-So.,"Mobile, Ala. / St. Paul's Episcopal",,
12,,20.0,Michael McDowell,DL,6-1,215.0,Gr.,"Boiling Springs, S.C. / Boiling Springs",,
13,,22.0,JJ Hudson,RB,5-11,185.0,So.,"Anderson, S.C. / Navy Prep",,
14,,24.0,Wilson Hendricks III,DB,6-1,200.0,Jr.,"Travelers Rest, S.C. / Travelers Rest",,
15,,27.0,Cooper Wallace,RB,5-10,195.0,Sr.,"Florence, S.C. / West Florence",,
16,,29.0,Elijah Bass,LB,6-0,220.0,Jr.,"Stafford, Va. / Colonial Forge",,
17,,31.0,Cale Williams,DB,6-0,195.0,So.,"Canton, Ga. / Creekview",,
18,,35.0,Chase Burton,WR,6-2,190.0,So.,"Anderson, S.C. / T.L. Hanna",,
19,,36.0,Desmond Boatwright,RB,5-10,190.0,R-Fr.,"Hopkins, S.C. / Blythewood",,
20,,37.0,Nai'Ryan Bookert,WR,6-3,206.0,R-So.,"Moncks Corner, S.C. / St. John's Christian Academy",,
21,,38.0,Hayden Johnson,LB,5-11,185.0,Jr.,"York, S.C. / Clover",,
22,,39.0,Ricky Conway,RB,5-10,180.0,Gr.,"Lindenhurst, N.Y. / Long Island",,
23,,40.0,Johnny Crawford III,RB,5-8,180.0,So.,"Moore Haven, Fla. / Clewiston",,
24,,42.0,Corey Ibrahim,RB,5-10,196.0,So.,"Raleigh, N.C. / Myrtle Beach Collegiate",,
25,,43.0,Je'Mazin Roberts,LB,6-2,240.0,Jr.,"Milledgeville, Ga. / John Milledge Academy",,
26,,44.0,Carson Hatchett,DL,6-3,260.0,Sr.,"Blountstown, Fla. / Blountstown",,
27,,45.0,Drew Beard,DB,5-9,160.0,Jr.,"Lexington, S.C. / River Bluff",,
28,,46.0,Rett Russell,LB,6-3,205.0,Gr.,"Acworth, Ga. / Wofford",,
29,,48.0,Saul Diaz,LB,6-3,230.0,Jr.,"Blythewood, S.C. / Hammond",,
30,,50.0,Jackson Dorris,LB,6-1,200.0,Jr.,"Simpsonville, S.C. / Southside Christian",,
31,,51.0,Justice Gilliard,DB,6-1,170.0,So.,"Yorktown, Va. / Grafton",,
32,,55.0,Bryson Jones,OL,6-1,265.0,Jr.,"Greenwood, S.C. / Emerald",,
33,,56.0,Josh Cole,LB,6-3,215.0,So.,"Roswell, Ga. / Fellowship Christian School",,
34,,57.0,Mike Bartilucci,OL,6-1,280.0,R-So.,"Jacksonville, Fla. / Fletcher",,
35,,58.0,Maurice Bonneau Jr.,LB,6-3,215.0,R-Fr.,"Rock Hill, S.C. / Rock Hill",,
36,,59.0,Alex Dure,OL,6-2,295.0,So.,"Lake Butler, Fla. / Union County",,
37,,60.0,Walker Merritt,OL,6-2,270.0,Jr.,"Powdersville, S.C. / Powdersville",,
38,,61.0,JR Raub,OL,6-1,275.0,So.,"Brooklet, Ga. / Southeast Bulloch",,
39,,62.0,Hayes Swillen,OL,6-2,250.0,So.,"Easley, S.C. / Wren",,
40,,63.0,Cole England,OL,6-4,245.0,R-So.,"Laurens, S.C. / Laurens",,
41,,64.0,Garrett Bonneville,OL,6-3,260.0,R-So.,"Bluffton, S.C. / May River",,
42,,65.0,Sawyer Whitman,OL,6-1,285.0,So.,"Gaffney, S.C. / Gaffney",,
43,,66.0,Jordan Marks,DL,5-10,280.0,R-So.,"Alpharetta, Ga. / Centennial",,
44,,67.0,Connor Nickles,OL,5-11,255.0,Jr.,"Abbeville, S.C. / Abbeville",,
45,,69.0,Phillip Collins,DL,5-11,265.0,R-So.,"Aiken, S.C. / Aiken",,
46,,70.0,Zach Blanchard,OL,6-2,285.0,Jr.,"Clover, S.C. / Clover",,
47,,71.0,Cameron Moewe,OL,6-4,250.0,Jr.,"Jacksonville, Fla. / Bishop Kenny",,
48,,73.0,John Hewlett,DL,6-0,260.0,R-So.,"Beaufort, S.C. / Thomas Heyward Academy",,
49,,74.0,Ethan Goyette,OL,6-3,245.0,Jr.,"Stafford, Va. / Mountain View",,
50,,75.0,Hi'keem Elmore,DL,5-10,265.0,Sr.,"Orangeburg, S.C. / Edisto",,
51,,76.0,Wheeler Johnson,OL,6-2,275.0,So.,"Washington, N.C. / Washington",,
52,,77.0,Steven Duff,OL,6-2,250.0,So.,"St. Petersburg, Fla. / Northeast",,
53,,79.0,Carson Arnold,DL,6-3,230.0,So.,"Charleston, S.C. / Oceanside Collegiate",,
54,,80.0,Landon Owens,WR,6-2,195.0,R-So.,"Monroe, Ga. / Prince Avenue Christian",,
55,,82.0,Ha'Keem Monroe,WR,6-3,185.0,R-Fr.,"Tampa, Fla. / Lennard",,
56,,83.0,Tyson Trottier,WR,6-3,195.0,Jr.,"Lexington, S.C. / River Bluff",,
57,,85.0,Steele Judy,LS,5-9,215.0,Sr.,"Moncks Corner, S.C. / Berkeley",,
58,,86.0,Jack McCall,LS,5-8,165.0,So.,"Columbia, S.C. / Hammond",,
59,,87.0,Ben Barnes,K,5-10,185.0,So.,"Medina, Ohio / Buckeye",,
60,,88.0,Tyler Cherry,WR,6-1,195.0,Jr.,"Piedmont, S.C. / Wren",,
61,,90.0,James Platte,P,5-11,170.0,Jr.,"Aiken, S.C. / Aiken",,
62,,91.0,Deonte Stackhouse,DL,6-5,247.0,Jr.,"Mullins, S.C. / Creek Bridge",,
63,,92.0,KJ Pierce,DL,6-1,310.0,Jr.,"Concord, N.C. / Northwest Cabarrus",,
64,,93.0,Chris Iverson,DL,6-0,285.0,R-So.,"Richmond, Va. / Life Christian Academy",,
65,,95.0,Andrew Lewis,LB,6-5,225.0,Jr.,"Ponte Vedra Beach, Fla. / Ponte Vedra",,
66,,97.0,Ben Brockington,TE,6-1,278.0,Sr.,"Orangeburg, S.C. / Orangeburg-Wilkinson",,
67,,98.0,Jay Smith,DL,6-1,270.0,Gr.,"Charleston, S.C. / West Ashley",,
68,,99.0,Colby Kintner,K,6-2,210.0,Jr.,"Windermere, Fla. / Olympia",,
69,,,Waverly Brooks,DL,6-2,260.0,So.,"Rock Hill, S.C. / Rock Hill",,
70,,,Jack Grider,QB,6-0,186.0,So.,"Dillon, S.C. / Dillon",,
71,,,Tanner Johnson,LB,6-0,200.0,So.,"Lexington, S.C. / Lexington",,
72,,,Wilson Long,TE,6-3,190.0,So.,"Roswell, Ga. / Fellowship Christian School",,
73,,,Skylar Mack,LB,6-1,210.0,Jr.,"Orangeburg, S.C. / Spring Valley",,
74,,,Joseph Poole,DB,6-2,175.0,Jr.,"Easley, S.C. / St. Joseph's Catholic",,
75,,,Will Ramey,WR,6-1,175.0,Jr.,"Charleston, S.C. / Philip Simmons",,
76,,,Miles Scott,LB,6-1,205.0,R-So.,"Greenville, S.C. / Eastside",,
77,,,Alex Shirley,LS,6-0,215.0,Jr.,"Greenville, S.C. / Eastside",,
78,,,Hayden Vasquez,QB,6-1,207.0,So.,"West Columbia, S.C. / Palmetto Prep Academy",,
0,,,Maurice Drayton,,,,,,,Head Coach
1,,,Keith Jones,,,,,,,Chief of Staff
2,,,Danny Lewis,,,,,,,Assistant Head Coach / TE
3,,,Patrick Covington,,,,,,,Offensive Coordinator / OL
4,,,Raleigh Jackson,,,,,,,Defensive Coordinator / LB
5,,,Everette Sands,,,,,,,Offensive Skill Specialist
6,,,Jordan Pu'u-Robinson,,,,,,,Defensive Line
7,,,Jackson Eskierka,,,,,,,Quarterbacks
8,,,Josh Jones,,,,,,,Defensive Backs
9,,,Lamar Owens,,,,,,,Cornerbacks
10,,,Joe Call,,,,,,,Assistant to the Head Coach / Game Day Management
11,,,Dominique Allen,,,,,,,Offensive Quality Control
12,,,Blaze Barista,,,,,,,Defensive Quality Control
